trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-99.80079829668178,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-187.75408980478093,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-65.84230398728188,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-84.52576062480614,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-92.9650258639979,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-90.7915213325661,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-112.07351169989036,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-73.80987046943558,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-69.87316711065321,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-31.524360853399124,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-129.37317218090968,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-75.54566073531038,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-192.22040603497217,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-54.42012550825976,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-23.568828629937066,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-166.9542396996384,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-17.49850701017019,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-133.3148569412429,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-161.9634090190886,"{0: 14, 1: 6, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-64.35802203718747,"{0: 25, 1: 2, 2: 8, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-72.91995184650555,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-22.746103046751045,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-164.68972399988678,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-125.16148976455202,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-127.21637821634371,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-150.57784252428763,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-115.53379007132811,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-96.27138550200866,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-201.73349977069006,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-116.87437439961909,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-102.37909695308176,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
