trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1}",30,0,-139.71801428201053,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.05, 'e': 1}",25,0,-97.06366678531747,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.05, 'e': 1}",25,0,-110.73658213817048,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.05, 'e': 1}",25,0,-62.44601015333789,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 1}",20,13,-77.6595719350194,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.05, 'e': 1}",30,0,-251.32118203361895,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.05, 'e': 1}",25,0,-122.61087646176036,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.05, 'e': 1}",25,0,-156.77097476235127,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.05, 'e': 1}",20,0,-121.13860730539429,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 1}",35,16,-37.99208973036927,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
11,False,"{'a': 0.05, 'e': 1}",25,0,-159.9207636416867,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.05, 'e': 1}",25,12,-14.45608606246184,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.05, 'e': 1}",20,0,-128.9890415944071,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 1}",20,0,-27.077364147102827,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.05, 'e': 1}",20,0,-76.42531940531107,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
