trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-85.09731741772379,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-104.78536616125243,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",35,0,-106.9056020825475,"{0: 24, 1: 5, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-39.184780531190704,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-75.85640241580884,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-177.9251280283521,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-23.283166092210237,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-86.85620373445911,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-107.46647714912888,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-102.17207746663722,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",35,0,-120.00331936419323,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,17,-29.784506527311194,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,9,-53.09542066408013,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-109.6713931140577,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,1,-102.91297422308253,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-92.63206353311014,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-126.02015122684328,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-180.04256134813002,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-115.68329491954592,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-141.31846938566932,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-118.07781295390612,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-174.7500147953042,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-115.70881635931875,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-59.523469217417805,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-126.55037349885252,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-209.25244809219942,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-173.7419264512113,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-126.63342460007233,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-122.49697440661922,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,12,-16.86870404187166,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
